Dataset Name,Title / Official Name,Persistent Identifier (PID),Domain,Clinical Setting,Short name / acronym,Number of Documents / Notes,Language(s),Annotation Types / Levels / Tasks,Access / Use Conditions,Access Mechanism,License / Terms of Use,Repository / Hosting / Mirror URLs
Synthetic Mention Corpora for Disease Entity Recognition and Normalization,Synthetic Mention Corpora for Disease Entity Recognition and Normalization,10.13026/p5pn-ty93,General Medicine,"Synthetic dataset (not directly collected), generation fine-tuned using SemEval-2015 Task 14 (derived from MIMIC-II discharge summaries and radiology reports)",Synthetic Mention Corpora,"128,945 mentions",English,named entity (disease mentions),"Open access: “Anyone can access the files, as long as they conform to the terms of the specified license.”",https://physionet.org/content/synthetic-mention-corpora/1.0.0/,Open Data Commons Attribution License v1.0,https://github.com/KuleenS/synth-der-den
Sadaftb/clinical-nlp-dataset-raw,No relevant information on HuggingFace about the dataset and no links to any related paper,"N/A (HuggingFace dataset, no persistent DOI)",Clinical NLP (inferred from name),N/A - undocumented,clinical-nlp-dataset-raw,N/A - undocumented,N/A - undocumented,N/A - undocumented,Publicly listed on HuggingFace but no dataset card or documentation,https://huggingface.co/datasets/Sadaftb/clinical-nlp-dataset-raw,Not specified on HuggingFace,https://huggingface.co/datasets/Sadaftb/clinical-nlp-dataset-raw
NCATS-EpiSet4,EpiSet4NER-v2,Hugging Face dataset identifier: ncats/EpiSet4NER-v2 (not persistent I think),biomedical literature,Not clinical/EHR,EpiSet4NER-v2,609 abstracts,English,Token-level NER,Public PubMed Abstracts,https://huggingface.co/datasets/ncats/EpiSet4NER-v2,HF lists license as “other”,https://github.com/ncats/epi4GARD/tree/master/epi_extract_datasets
dylanmontoya22/bioBERT-ner-biomedical-text,No relevant information on HuggingFace about the dataset and no links to any related paper,"N/A (HuggingFace dataset, no persistent DOI)",Biomedical NLP / NER (inferred from name),N/A - undocumented,bioBERT-ner-biomedical-text,N/A - undocumented,Likely English (inferred),Likely token-level NER for biomedical entities (inferred from name referencing BioBERT NER),Publicly listed on HuggingFace but no dataset card or documentation,https://huggingface.co/datasets/dylanmontoya22/bioBERT-ner-biomedical-text,Not specified on HuggingFace,https://huggingface.co/datasets/dylanmontoya22/bioBERT-ner-biomedical-text
nlp-guild/medical-data,No relevant information on HuggingFace about the dataset and no links to any related paper,"N/A (HuggingFace dataset, no persistent DOI)",General Medicine / Medical Knowledge Base,General medical reference (not clinical EHR),medical-data,"~8,810 disease entries",Chinese (field names suggest Chinese medical knowledge base),"Structured medical knowledge: disease name, symptoms, causes, prevention, treatment, department, cost",Public,https://huggingface.co/datasets/nlp-guild/medical-data,MIT License,https://huggingface.co/datasets/nlp-guild/medical-data
ahmedabdelwahed/Medical_papers_title_and_abstract_NLP_dataset,Medical Papers Title and Abstract NLP Dataset,"N/A (HuggingFace dataset, no persistent DOI)",medical literature/abstracts,Medical literature reference,Medical_papers_title_and_abstract,1999 medical title and abstracts,English,Title and abstract text pairs,Public,https://huggingface.co/datasets/ahmedabdelwahed/Medical_papers_title_and_abstract_NLP_dataset,Not specified on HuggingFace,https://huggingface.co/datasets/ahmedabdelwahed/Medical_papers_title_and_abstract_NLP_dataset
upayan2003/MedicalNLPDataset,MedicalNLPDataset,"N/A (HuggingFace dataset, no persistent DOI)",General medicine,Simulated / Synthetic clinical context,MedicalNLPDataset,257K rows of simulated clinical questions,English,Simulated clinical questions and answers,Public,https://huggingface.co/datasets/upayan2003/MedicalNLPDataset,Not specified on HuggingFace,https://huggingface.co/datasets/upayan2003/MedicalNLPDataset
NLP-FBK/medical-wikipedia-english,Medical Wikipedia English,"N/A (HuggingFace dataset, no persistent DOI)",General Medicine / Medical Knowledge,"N/A (encyclopedic, not clinical)",medical-wikipedia-english,Subset of English Wikipedia medical articles (used as knowledge base for ~500K reasoning traces),English,Raw text (no specific annotation),Public,https://huggingface.co/datasets/NLP-FBK/medical-wikipedia-english,Wikipedia content under CC BY-SA 3.0/4.0,https://huggingface.co/datasets/NLP-FBK/medical-wikipedia-english
NLP-FBK/multilingual-medical-reasoning-traces,Multilingual Medical Reasoning Traces,"N/A (HuggingFace dataset, no persistent DOI)",Clinical NLP/General medicine,N/A (derived from medical exam questions),multilingual-medical-reasoning-traces,"~500K reasoning traces total: ~179K English, ~178K Spanish, ~176K Italian (from MedMCQA ~169K + MedQA ~9.5K per language)","Italian, English, Spanish",Multiple choice QA with reasoning traces; dense retrieval of supporting medical knowledge chunks,Public,https://huggingface.co/datasets/NLP-FBK/multilingual-medical-reasoning-traces,Not specified on HuggingFace; source questions from MedQA (MIT) and MedMCQA (Apache 2.0),https://github.com/ferrazzipietro
Savindu9x/clinical-entity-extraction-dataset,Clinical Entity Extraction Dataset,"N/A (HuggingFace dataset, no persistent DOI)",Clinical NLP / Entity Extraction (inferred from name),N/A - private dataset,clinical-entity-extraction-dataset,N/A - private dataset,Likely English (inferred),Entity extraction (inferred from name),Private,https://huggingface.co/datasets/Savindu9x/clinical-entity-extraction-dataset,Not specified on HuggingFace,https://huggingface.co/datasets/Savindu9x/clinical-entity-extraction-dataset
